country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Uttar_Pradesh,Moradabad,"Employment Office, Moradabad - UPPCB","08-11-2025 15:00:00",28.88528,78.73880,NO2,15,16,16
India,Uttar_Pradesh,Moradabad,"Employment Office, Moradabad - UPPCB","08-11-2025 15:00:00",28.88528,78.73880,NH3,4,4,4
India,Uttar_Pradesh,Moradabad,"Jigar Colony, Moradabad - UPPCB","08-11-2025 15:00:00",28.856664,78.772638,PM2.5,77,303,170
India,Uttar_Pradesh,Moradabad,"Transport Nagar, Moradabad - UPPCB","08-11-2025 15:00:00",28.802625,78.753728,NO2,29,30,30
India,Uttar_Pradesh,Moradabad,"Transport Nagar, Moradabad - UPPCB","08-11-2025 15:00:00",28.802625,78.753728,NH3,5,6,5
India,Uttar_Pradesh,Noida,"Sector - 125, Noida - UPPCB","08-11-2025 15:00:00",28.5447608,77.3231257,PM10,154,425,286
India,Uttar_Pradesh,Noida,"Sector - 125, Noida - UPPCB","08-11-2025 15:00:00",28.5447608,77.3231257,SO2,16,31,22
India,West_Bengal,Durgapur,"Mahishkapur Road_B-Zone, Durgapur - WBPCB","08-11-2025 15:00:00",23.567923,87.306843,CO,2,40,21
India,West_Bengal,Durgapur,"PCBL Residential Complex, Durgapur - WBPCB","08-11-2025 15:00:00",23.5087640,87.3544400,PM2.5,39,86,56
India,West_Bengal,Durgapur,"Womens College_City Center, Durgapur - WBPCB (Formerly known as Sidhu Kanhu Indoor Stadium)","08-11-2025 15:00:00",23.549395,87.300496,PM10,79,111,90
India,West_Bengal,Durgapur,"Womens College_City Center, Durgapur - WBPCB (Formerly known as Sidhu Kanhu Indoor Stadium)","08-11-2025 15:00:00",23.549395,87.300496,NO2,28,33,29
India,West_Bengal,Durgapur,"Womens College_City Center, Durgapur - WBPCB (Formerly known as Sidhu Kanhu Indoor Stadium)","08-11-2025 15:00:00",23.549395,87.300496,SO2,21,63,32
India,West_Bengal,Durgapur,"Womens College_City Center, Durgapur - WBPCB (Formerly known as Sidhu Kanhu Indoor Stadium)","08-11-2025 15:00:00",23.549395,87.300496,CO,20,34,23
India,West_Bengal,Haldia,"Priyambada Housing Estate, Haldia - WBPCB","08-11-2025 15:00:00",22.06047,88.109737,NO2,12,22,16
India,West_Bengal,Haldia,"Priyambada Housing Estate, Haldia - WBPCB","08-11-2025 15:00:00",22.06047,88.109737,SO2,13,20,16
India,West_Bengal,Howrah,"Belur Math, Howrah - WBPCB","08-11-2025 15:00:00",22.629801,88.352017,PM10,101,142,122
India,West_Bengal,Howrah,"Belur Math, Howrah - WBPCB","08-11-2025 15:00:00",22.629801,88.352017,NO2,21,51,32
India,West_Bengal,Howrah,"Belur Math, Howrah - WBPCB","08-11-2025 15:00:00",22.629801,88.352017,OZONE,14,35,30
India,West_Bengal,Howrah,"Dasnagar, Howrah - WBPCB","08-11-2025 15:00:00",22.6025571,88.3105664,PM10,57,116,91
India,West_Bengal,Kolkata,"Ballygunge, Kolkata - WBPCB","08-11-2025 15:00:00",22.5367507,88.3638022,CO,13,57,13
India,West_Bengal,Kolkata,"Jadavpur, Kolkata - WBPCB","08-11-2025 15:00:00",22.49929,88.36917,PM2.5,113,273,199
India,West_Bengal,Kolkata,"Rabindra Bharati University, Kolkata - WBPCB","08-11-2025 15:00:00",22.627847,88.380669,PM10,69,106,90
India,West_Bengal,Kolkata,"Rabindra Sarobar, Kolkata - WBPCB","08-11-2025 15:00:00",22.51106,88.35142,PM10,65,105,86
India,West_Bengal,Kolkata,"Victoria, Kolkata - WBPCB","08-11-2025 15:00:00",22.5448082,88.3403691,PM2.5,98,266,181
India,West_Bengal,Siliguri,"Ward-32 Bapupara, Siliguri - WBPCB","08-11-2025 15:00:00",26.6879226,88.4152495,SO2,11,12,12
India,West_Bengal,Siliguri,"Ward-32 Bapupara, Siliguri - WBPCB","08-11-2025 15:00:00",26.6879226,88.4152495,OZONE,16,78,53
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","08-11-2025 15:00:00",16.536107,80.594233,NO2,24,24,24
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","08-11-2025 15:00:00",16.536107,80.594233,OZONE,18,48,43
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","08-11-2025 15:00:00",16.509717,80.612222,NO2,43,64,53
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","08-11-2025 15:00:00",16.509717,80.612222,SO2,15,18,16
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","08-11-2025 15:00:00",16.509717,80.612222,CO,34,34,34
